date,price,price_direction
2016-01-01,120.26650000000001,up
2016-01-02,120.8575,up
2016-01-03,113.918,down
2016-01-04,111.6515,down
2016-01-05,106.4375,down
2016-01-06,109.46549999999999,up
2016-01-07,102.524,down
2016-01-08,102.31,down
2016-01-09,103.256,up
2016-01-10,101.3335,down
2016-01-11,104.084,up
2016-01-12,113.90549999999999,up
2016-01-13,117.418,up
2016-01-14,118.22749999999999,up
2016-01-15,117.012,down
2016-01-16,117.012,up
2016-01-17,117.0005,down
2016-01-18,117.4015,up
2016-01-19,117.568,up
2016-01-20,117.199,down
2016-01-21,117.929,up
2016-01-22,118.7865,up
2016-01-23,118.7865,up
2016-01-24,118.5625,down
2016-01-25,118.2365,down
2016-01-26,118.389,up
2016-01-27,118.482,up
2016-01-28,118.929,up
2016-01-29,121.1285,up
2016-01-30,121.1285,up
2016-01-31,121.3505,up
2016-02-01,120.26650000000001,down
2016-02-02,119.8515,down
2016-02-03,113.4905,down
2016-02-04,111.6515,down
2016-02-05,106.4125,down
2016-02-06,108.86449999999999,up
2016-02-07,102.524,down
2016-02-08,101.08,down
2016-02-09,103.9345,up
2016-02-10,101.5375,down
2016-02-11,103.387,up
2016-02-12,113.5165,up
2016-02-13,113.2225,down
2016-02-14,113.68100000000001,up
2016-02-15,114.35249999999999,up
2016-02-16,114.1375,down
2016-02-17,114.296,up
2016-02-18,113.256,down
2016-02-19,112.578,down
2016-02-20,112.578,up
2016-02-21,112.527,down
2016-02-22,112.958,up
2016-02-23,111.9105,down
2016-02-24,112.06700000000001,up
2016-02-25,113.14500000000001,up
2016-02-26,113.9865,up
2016-02-27,113.9865,up
2016-02-28,113.71950000000001,down
2016-02-29,112.4135,down
2016-03-01,120.318,up
2016-03-02,118.1685,down
2016-03-03,113.693,down
2016-03-04,111.6945,down
2016-03-05,106.667,down
2016-03-06,106.5245,down
2016-03-07,102.48750000000001,down
2016-03-08,101.346,down
2016-03-09,103.9345,up
2016-03-10,101.8385,down
2016-03-11,103.06649999999999,up
2016-03-12,113.5165,up
2016-03-13,113.779,up
2016-03-14,113.82749999999999,up
2016-03-15,113.1055,down
2016-03-16,112.7975,down
2016-03-17,111.3655,down
2016-03-18,111.5475,up
2016-03-19,111.5475,up
2016-03-20,111.44399999999999,down
2016-03-21,112.1485,up
2016-03-22,112.253,up
2016-03-23,112.4255,up
2016-03-24,112.8385,up
2016-03-25,113.09700000000001,up
2016-03-26,113.09700000000001,up
2016-03-27,113.465,up
2016-03-28,113.372,down
2016-03-29,112.679,down
2016-03-30,112.38149999999999,down
2016-03-31,112.51650000000001,up
2016-04-01,119.47149999999999,up
2016-04-02,116.857,down
2016-04-03,113.753,down
2016-04-04,111.2285,down
2016-04-05,106.93950000000001,down
2016-04-06,106.5245,down
2016-04-07,102.527,down
2016-04-08,101.2015,down
2016-04-09,103.93350000000001,up
2016-04-10,102.872,down
2016-04-11,103.113,up
2016-04-12,113.5245,up
2016-04-13,109.43350000000001,down
2016-04-14,109.334,down
2016-04-15,108.7535,down
2016-04-16,108.7535,up
2016-04-17,108.0695,down
2016-04-18,109.09,up
2016-04-19,109.2175,up
2016-04-20,109.86449999999999,up
2016-04-21,109.464,down
2016-04-22,111.7835,up
2016-04-23,111.7835,up
2016-04-24,111.456,down
2016-04-25,111.126,down
2016-04-26,111.2185,up
2016-04-27,111.528,up
2016-04-28,108.1045,down
2016-04-29,106.33500000000001,down
2016-04-30,106.33500000000001,up
2016-05-01,119.1125,up
2016-05-02,116.84,down
2016-05-03,113.753,down
2016-05-04,110.3765,down
2016-05-05,107.351,down
2016-05-06,106.6755,down
2016-05-07,101.1645,down
2016-05-08,101.83,up
2016-05-09,103.5085,up
2016-05-10,103.452,down
2016-05-11,103.113,down
2016-05-12,113.858,up
2016-05-13,108.62299999999999,down
2016-05-14,108.62299999999999,up
2016-05-15,108.66300000000001,up
2016-05-16,109.0915,up
2016-05-17,109.0195,down
2016-05-18,110.179,up
2016-05-19,109.9205,down
2016-05-20,110.15950000000001,up
2016-05-21,110.15950000000001,up
2016-05-22,110.03049999999999,down
2016-05-23,109.3765,down
2016-05-24,110.16550000000001,up
2016-05-25,110.136,down
2016-05-26,109.711,down
2016-05-27,110.2955,up
2016-05-28,110.2955,up
2016-05-29,110.7765,up
2016-05-30,110.845,up
2016-05-31,110.636,down
2016-06-01,118.624,up
2016-06-02,116.84,down
2016-06-03,113.83,down
2016-06-04,109.724,down
2016-06-05,107.1445,down
2016-06-06,107.4585,up
2016-06-07,101.14,down
2016-06-08,101.83,up
2016-06-09,101.5915,down
2016-06-10,103.7575,up
2016-06-11,104.1635,up
2016-06-12,114.0435,up
2016-06-13,106.191,down
2016-06-14,106.0855,down
2016-06-15,105.89,down
2016-06-16,104.76400000000001,down
2016-06-17,104.13149999999999,down
2016-06-18,104.13149999999999,up
2016-06-19,104.63300000000001,up
2016-06-20,103.8235,down
2016-06-21,104.712,up
2016-06-22,104.663,down
2016-06-23,104.94550000000001,up
2016-06-24,102.099,down
2016-06-25,102.099,up
2016-06-26,102.2055,up
2016-06-27,101.8135,down
2016-06-28,102.695,up
2016-06-29,102.789,up
2016-06-30,103.094,up
2016-07-01,117.53200000000001,up
2016-07-02,116.952,down
2016-07-03,113.4945,down
2016-07-04,108.47800000000001,down
2016-07-05,107.1445,down
2016-07-06,107.299,up
2016-07-07,100.7625,down
2016-07-08,102.056,up
2016-07-09,101.84049999999999,down
2016-07-10,102.916,up
2016-07-11,104.457,up
2016-07-12,113.7345,up
2016-07-13,104.04650000000001,down
2016-07-14,105.15,up
2016-07-15,104.87100000000001,down
2016-07-16,104.87100000000001,up
2016-07-17,105.4005,up
2016-07-18,106.1695,up
2016-07-19,106.1225,down
2016-07-20,107.1875,up
2016-07-21,105.792,down
2016-07-22,106.0925,up
2016-07-23,106.0925,up
2016-07-24,106.28649999999999,up
2016-07-25,105.596,down
2016-07-26,104.85249999999999,down
2016-07-27,104.92500000000001,up
2016-07-28,104.8365,down
